Time (s),SCL (V)
-7.393989830508475e-05,-0.1195438645382607
-7.391989830508475e-05,-0.09366717434585722
-7.389989830508474e-05,-0.09366717434585722
-7.387989830508475e-05,-0.1195438645382607
-7.385989830508475e-05,-0.108453854455802
-7.383989830508475e-05,-0.1232405345657469
-7.381989830508474e-05,-0.1047571844283158
-7.379989830508475e-05,-0.09366717434585722
-7.377989830508475e-05,-0.1195438645382607
-7.375989830508475e-05,-0.1158471945107744
-7.373989830508474e-05,-0.108453854455802
-7.371989830508475e-05,-0.1195438645382607
-7.369989830508475e-05,-0.1010605144008296
-7.367989830508475e-05,-0.1010605144008296
-7.365989830508474e-05,-0.1158471945107744
-7.363989830508475e-05,-0.1047571844283158
-7.361989830508475e-05,-0.1195438645382607
-7.359989830508475e-05,-0.108453854455802
-7.357989830508474e-05,-0.09366717434585722
-7.355989830508474e-05,-0.1158471945107744
-7.353989830508475e-05,-0.1232405345657469
-7.351989830508475e-05,-0.1010605144008296
-7.349989830508475e-05,-0.1121505244832882
-7.347989830508474e-05,-0.1047571844283158
-7.345989830508475e-05,-0.1047571844283158
-7.343989830508475e-05,-0.1121505244832882
-7.341989830508475e-05,-0.1121505244832882
-7.339989830508474e-05,-0.1047571844283158
-7.337989830508475e-05,-0.1232405345657469
-7.335989830508475e-05,-0.09736384437334342
-7.333989830508475e-05,-0.1121505244832882
-7.331989830508474e-05,-0.1047571844283158
-7.329989830508475e-05,-0.08997050431837103
-7.327989830508475e-05,-0.108453854455802
-7.325989830508475e-05,-0.1121505244832882
-7.323989830508474e-05,-0.09736384437334342
-7.321989830508474e-05,-0.1158471945107744
-7.319989830508475e-05,-0.1010605144008296
-7.317989830508475e-05,-0.09736384437334342
-7.315989830508475e-05,-0.126937204593233
-7.313989830508474e-05,-0.08997050431837103
-7.311989830508475e-05,-0.1047571844283158
-7.309989830508475e-05,-0.1047571844283158
-7.307989830508475e-05,-0.1047571844283158
-7.305989830508474e-05,-0.1121505244832882
-7.303989830508475e-05,-0.09366717434585722
-7.301989830508475e-05,-0.08997050431837103
-7.299989830508475e-05,-0.1158471945107744
-7.297989830508474e-05,-0.09736384437334342
-7.295989830508475e-05,-0.1047571844283158
-7.293989830508475e-05,-0.1158471945107744
-7.291989830508475e-05,-0.108453854455802
-7.289989830508474e-05,-0.1010605144008296
-7.287989830508474e-05,-0.1232405345657469
-7.285989830508475e-05,-0.09736384437334342
-7.283989830508475e-05,-0.1121505244832882
-7.281989830508475e-05,-0.09366717434585722
-7.279989830508474e-05,-0.09736384437334342
-7.277989830508475e-05,-0.1195438645382607
-7.275989830508475e-05,-0.1010605144008296
-7.273989830508475e-05,-0.08997050431837103
-7.271989830508474e-05,-0.1158471945107744
-7.269989830508475e-05,-0.09736384437334342
-7.267989830508475e-05,-0.1047571844283158
